id,lastUpdateTime,name,total_confirm,total_suspect,total_heal,total_dead,total_severe,total_input,today_confirm,today_suspect,today_heal,today_dead,today_severe,today_storeConfirm,today_input
420000,2020-05-29 08:39:06,湖北,68135,0,63618,4512,0,0,0,,0,0,,0,0
440000,2020-05-29 08:40:11,广东,1592,0,1582,8,0,0,0,,0,0,,0,0
410000,2020-05-29 08:43:32,河南,1276,0,1254,22,0,0,0,,0,0,,0,0
330000,2020-05-29 09:14:07,浙江,1268,0,1267,1,0,0,0,,0,0,,0,0
810000,2020-05-29 17:17:49,香港,1079,0,1035,4,0,0,13,0.0,1,0,0.0,12,0
430000,2020-05-29 08:42:23,湖南,1019,0,1015,4,0,0,0,,0,0,,0,0
340000,2020-05-29 08:43:25,安徽,991,0,985,6,0,0,0,,0,0,,0,0
230000,2020-05-29 08:38:15,黑龙江,945,0,932,13,0,0,0,,0,0,,0,0
360000,2020-05-29 09:14:52,江西,937,0,936,1,0,0,0,,0,0,,0,0
370000,2020-05-29 08:41:31,山东,788,0,780,7,0,0,0,,0,0,,0,0
310000,2020-05-29 14:10:12,上海,671,0,657,7,0,0,0,,2,0,,-2,0
320000,2020-05-29 09:15:21,江苏,653,0,653,0,0,0,0,,0,0,,0,0
110000,2020-05-29 08:42:56,北京,593,0,581,9,0,0,0,,0,0,,0,0
500000,2020-05-29 08:44:18,重庆,579,0,573,6,0,0,0,,0,0,,0,0
510000,2020-05-29 08:41:10,四川,564,0,558,3,0,0,0,,0,0,,0,0
700000,2020-05-29 14:16:50,台湾,442,0,420,7,0,0,1,0.0,1,0,0.0,0,0
350000,2020-05-29 08:41:57,福建,358,0,355,1,0,0,0,,0,0,,0,0
130000,2020-05-29 08:42:42,河北,328,0,322,6,0,0,0,,0,0,,0,0
610000,2020-05-29 09:14:39,陕西,308,0,305,3,0,0,0,,0,0,,0,0
450000,2020-05-29 08:44:43,广西,254,0,252,2,0,0,0,,0,0,,0,0
150000,2020-05-29 08:46:37,内蒙古,232,0,205,1,0,0,0,,0,0,,0,0
140000,2020-05-29 08:45:06,山西,198,0,198,0,0,0,0,,0,0,,0,0
120000,2020-05-29 10:12:53,天津,192,0,188,3,0,0,0,,0,0,,0,0
530000,2020-05-29 03:47:21,云南,185,0,183,2,0,0,0,,0,0,,0,0
460000,2020-05-29 21:41:40,海南,169,0,163,6,0,0,0,,1,0,,-1,0
220000,2020-05-29 17:20:50,吉林,155,0,142,2,0,0,0,,9,0,,-9,0
210000,2020-05-29 08:38:52,辽宁,149,0,147,2,0,0,0,,0,0,,0,0
520000,2020-05-29 08:41:49,贵州,147,0,145,2,0,0,0,,0,0,,0,0
620000,2020-05-29 08:45:23,甘肃,139,0,137,2,0,0,0,,0,0,,0,0
650000,2020-05-29 09:16:06,新疆,76,0,73,3,0,0,0,,0,0,,0,0
640000,2020-05-29 08:52:48,宁夏,75,0,75,0,0,0,0,,0,0,,0,0
820000,2020-05-29 08:46:16,澳门,45,0,45,0,0,0,0,,0,0,,0,0
630000,2020-05-29 09:46:31,青海,18,0,18,0,0,0,0,,0,0,,0,0
540000,2020-05-29 09:46:52,西藏,1,0,1,0,0,0,0,,0,0,,0,0
